Min Wt,Max Wt ,Carat Filter
0.1,0.14, 1/7
0.15,0.19, 1/5
0.2,0.25, 1/4
0.26,0.35, 1/3
0.36,0.44, 2/5
0.45,0.59, 1/2
0.6,0.7, 2/3
0.71,0.85, 3/4
0.86,1.1,1    
1.11,1.25,1 1/4
1.26,1.35,1 1/3
1.36,1.44,1 2/5
1.45,1.59,1 1/2
1.6,1.7,1 2/3
1.74,1.85,1 3/4
1.86,2.1,2    
2.11,2.25,2 1/4
2.26,2.35,2 1/3
2.36,2.44,2 2/5
2.45,2.59,2 1/2
2.6,2.7,2 2/3
2.71,2.85,2 3/4
2.86,3.1,3    
3.11,3.25,3 1/4
3.26,3.35,3 1/3
3.36,3.44,3 2/5
3.45,3.59,3 1/2
3.6,3.7,3 2/3
3.71,3.85,3 3/4
3.86,4.1,4    
4.11,4.25,4 1/4
4.26,4.35,4 1/3
4.36,4.44,4 2/5
4.45,4.59,4 1/2
